Data;Godzina;Generacja.zrodel.wiatrowych;Generacja.zrodel.fotowoltaicznych
2015-09-01;1;1811,238;-
2015-09-01;2;1928,688;-
2015-09-01;3;1798,888;-
2015-09-01;4;1637,025;-
2015-09-01;5;1533,038;-
2015-09-01;6;1463,125;-
2015-09-01;7;1374,913;-
2015-09-01;8;1106,400;-
2015-09-01;9;668,475;-
2015-09-01;10;567,963;-
2015-09-01;11;474,475;-
2015-09-01;12;404,613;-
2015-09-01;13;451,463;-
2015-09-01;14;450,738;-
2015-09-01;15;433,763;-
2015-09-01;16;341,938;-
2015-09-01;17;355,788;-
2015-09-01;18;332,450;-
2015-09-01;19;339,713;-
2015-09-01;20;447,250;-
2015-09-01;21;669,000;-
2015-09-01;22;762,988;-
2015-09-01;23;1063,400;-
2015-09-01;24;1009,500;-
2015-09-02;1;1305,363;-
2015-09-02;2;1410,013;-
2015-09-02;3;1508,950;-
2015-09-02;4;1576,775;-
2015-09-02;5;1531,150;-
2015-09-02;6;1598,263;-
2015-09-02;7;1698,313;-
2015-09-02;8;1547,838;-
2015-09-02;9;1595,838;-
2015-09-02;10;1546,100;-
2015-09-02;11;1413,400;-
2015-09-02;12;1254,400;-
2015-09-02;13;1137,150;-
2015-09-02;14;1057,313;-
2015-09-02;15;957,413;-
2015-09-02;16;801,475;-
2015-09-02;17;627,000;-
2015-09-02;18;432,688;-
2015-09-02;19;270,250;-
2015-09-02;20;184,375;-
2015-09-02;21;207,925;-
2015-09-02;22;190,688;-
2015-09-02;23;182,850;-
2015-09-02;24;223,450;-
2015-09-03;1;223,200;-
2015-09-03;2;192,038;-
2015-09-03;3;172,075;-
2015-09-03;4;142,363;-
2015-09-03;5;130,313;-
2015-09-03;6;123,475;-
2015-09-03;7;116,600;-
2015-09-03;8;116,875;-
2015-09-03;9;79,625;-
2015-09-03;10;23,600;-
2015-09-03;11;31,150;-
2015-09-03;12;37,613;-
2015-09-03;13;40,100;-
2015-09-03;14;51,113;-
2015-09-03;15;47,975;-
2015-09-03;16;75,938;-
2015-09-03;17;71,300;-
2015-09-03;18;81,563;-
2015-09-03;19;149,463;-
2015-09-03;20;192,938;-
2015-09-03;21;328,263;-
2015-09-03;22;412,100;-
2015-09-03;23;470,700;-
2015-09-03;24;526,588;-
2015-09-04;1;516,788;-
2015-09-04;2;444,700;-
2015-09-04;3;378,763;-
2015-09-04;4;376,988;-
2015-09-04;5;297,400;-
2015-09-04;6;256,638;-
2015-09-04;7;234,575;-
2015-09-04;8;262,200;-
2015-09-04;9;241,700;-
2015-09-04;10;196,963;-
2015-09-04;11;194,538;-
2015-09-04;12;205,838;-
2015-09-04;13;231,613;-
2015-09-04;14;312,975;-
2015-09-04;15;329,700;-
2015-09-04;16;368,000;-
2015-09-04;17;253,600;-
2015-09-04;18;298,725;-
2015-09-04;19;242,525;-
2015-09-04;20;220,988;-
2015-09-04;21;390,425;-
2015-09-04;22;499,838;-
2015-09-04;23;717,500;-
2015-09-04;24;805,913;-
2015-09-05;1;702,900;-
2015-09-05;2;792,213;-
2015-09-05;3;1016,288;-
2015-09-05;4;1219,450;-
2015-09-05;5;1291,225;-
2015-09-05;6;1369,988;-
2015-09-05;7;1430,025;-
2015-09-05;8;1440,663;-
2015-09-05;9;1427,650;-
2015-09-05;10;1672,575;-
2015-09-05;11;2200,675;-
2015-09-05;12;2566,088;-
2015-09-05;13;2729,100;-
2015-09-05;14;2728,563;-
2015-09-05;15;2718,600;-
2015-09-05;16;2637,375;-
2015-09-05;17;2550,525;-
2015-09-05;18;2383,725;-
2015-09-05;19;1963,313;-
2015-09-05;20;1734,763;-
2015-09-05;21;1874,950;-
2015-09-05;22;2161,050;-
2015-09-05;23;2135,550;-
2015-09-05;24;2143,875;-
2015-09-06;1;2182,200;-
2015-09-06;2;2177,913;-
2015-09-06;3;2217,613;-
2015-09-06;4;2237,163;-
2015-09-06;5;2296,363;-
2015-09-06;6;2323,588;-
2015-09-06;7;2370,188;-
2015-09-06;8;2473,725;-
2015-09-06;9;2667,338;-
2015-09-06;10;2730,388;-
2015-09-06;11;2704,775;-
2015-09-06;12;2741,913;-
2015-09-06;13;2781,238;-
2015-09-06;14;2934,300;-
2015-09-06;15;2725,688;-
2015-09-06;16;2456,775;-
2015-09-06;17;2492,425;-
2015-09-06;18;2346,275;-
2015-09-06;19;2294,063;-
2015-09-06;20;2510,738;-
2015-09-06;21;2728,725;-
2015-09-06;22;2764,050;-
2015-09-06;23;2958,250;-
2015-09-06;24;2974,563;-
2015-09-07;1;2843,650;-
2015-09-07;2;2881,075;-
2015-09-07;3;2851,575;-
2015-09-07;4;2835,888;-
2015-09-07;5;2757,988;-
2015-09-07;6;2764,238;-
2015-09-07;7;2792,425;-
2015-09-07;8;2657,888;-
2015-09-07;9;2647,400;-
2015-09-07;10;2706,675;-
2015-09-07;11;2791,613;-
2015-09-07;12;2713,238;-
2015-09-07;13;2586,525;-
2015-09-07;14;2466,925;-
2015-09-07;15;2378,563;-
2015-09-07;16;2424,888;-
2015-09-07;17;2372,975;-
2015-09-07;18;2195,713;-
2015-09-07;19;1978,125;-
2015-09-07;20;1839,525;-
2015-09-07;21;1709,613;-
2015-09-07;22;1720,188;-
2015-09-07;23;1640,200;-
2015-09-07;24;1622,088;-
2015-09-08;1;1625,263;-
2015-09-08;2;1495,950;-
2015-09-08;3;1487,188;-
2015-09-08;4;1510,925;-
2015-09-08;5;1559,675;-
2015-09-08;6;1639,688;-
2015-09-08;7;1656,975;-
2015-09-08;8;1547,225;-
2015-09-08;9;1234,150;-
2015-09-08;10;1152,925;-
2015-09-08;11;1217,150;-
2015-09-08;12;1204,925;-
2015-09-08;13;1251,850;-
2015-09-08;14;1345,613;-
2015-09-08;15;1291,713;-
2015-09-08;16;1224,075;-
2015-09-08;17;1137,388;-
2015-09-08;18;1033,800;-
2015-09-08;19;839,400;-
2015-09-08;20;812,725;-
2015-09-08;21;763,738;-
2015-09-08;22;712,750;-
