Date;Hour;TotalLoad_Forecast_MW;TotalLoad_Actual_MW
2015-01-01;00:00 - 01:00;;14727
2015-01-01;01:00 - 02:00;;13979
2015-01-01;02:00 - 03:00;;13454
2015-01-01;03:00 - 04:00;;13306
2015-01-01;04:00 - 05:00;;13176
2015-01-01;05:00 - 06:00;;13165
2015-01-01;06:00 - 07:00;;13030
2015-01-01;07:00 - 08:00;;12945
2015-01-01;08:00 - 09:00;;13455
2015-01-01;09:00 - 10:00;;14095
2015-01-01;10:00 - 11:00;;14718
2015-01-01;11:00 - 12:00;;15188
2015-01-01;12:00 - 13:00;;15637
2015-01-01;13:00 - 14:00;;15699
2015-01-01;14:00 - 15:00;;15882
2015-01-01;15:00 - 16:00;;17216
2015-01-01;16:00 - 17:00;;17646
2015-01-01;17:00 - 18:00;;17544
2015-01-01;18:00 - 19:00;;17553
2015-01-01;19:00 - 20:00;;17264
2015-01-01;20:00 - 21:00;;16560
2015-01-01;21:00 - 22:00;;15860
2015-01-01;22:00 - 23:00;;14706
2015-01-01;23:00 - 00:00;13828;13721
2015-01-02;00:00 - 01:00;13213;13258
2015-01-02;01:00 - 02:00;13028;13011
2015-01-02;02:00 - 03:00;13057;13007
2015-01-02;03:00 - 04:00;13426;13241
2015-01-02;04:00 - 05:00;14309;13986
2015-01-02;05:00 - 06:00;15801;15720
2015-01-02;06:00 - 07:00;17283;16900
2015-01-02;07:00 - 08:00;17764;17783
2015-01-02;08:00 - 09:00;18537;18763
2015-01-02;09:00 - 10:00;19148;19358
2015-01-02;10:00 - 11:00;19441;19744
2015-01-02;11:00 - 12:00;19702;20031
2015-01-02;12:00 - 13:00;19830;20492
2015-01-02;13:00 - 14:00;20050;20394
2015-01-02;14:00 - 15:00;20328;20516
2015-01-02;15:00 - 16:00;21690;21504
2015-01-02;16:00 - 17:00;21629;21449
2015-01-02;17:00 - 18:00;21356;21110
2015-01-02;18:00 - 19:00;21079;20924
2015-01-02;19:00 - 20:00;20360;20286
2015-01-02;20:00 - 21:00;19090;19114
2015-01-02;21:00 - 22:00;17590;17908
2015-01-02;22:00 - 23:00;16215;16642
2015-01-02;23:00 - 00:00;15168;15491
2015-01-03;00:00 - 01:00;14349;14867
2015-01-03;01:00 - 02:00;13955;14560
2015-01-03;02:00 - 03:00;13834;14399
2015-01-03;03:00 - 04:00;13946;14584
2015-01-03;04:00 - 05:00;14373;14755
2015-01-03;05:00 - 06:00;15354;15689
2015-01-03;06:00 - 07:00;16219;16285
2015-01-03;07:00 - 08:00;17170;17006
2015-01-03;08:00 - 09:00;18297;18138
2015-01-03;09:00 - 10:00;18983;18847
2015-01-03;10:00 - 11:00;19309;19194
2015-01-03;11:00 - 12:00;19371;19228
2015-01-03;12:00 - 13:00;19484;19455
2015-01-03;13:00 - 14:00;19231;19217
2015-01-03;14:00 - 15:00;19599;19568
2015-01-03;15:00 - 16:00;20782;20674
2015-01-03;16:00 - 17:00;20909;20548
2015-01-03;17:00 - 18:00;20614;20470
2015-01-03;18:00 - 19:00;20460;20158
2015-01-03;19:00 - 20:00;19780;19536
2015-01-03;20:00 - 21:00;18609;18338
2015-01-03;21:00 - 22:00;17347;17324
2015-01-03;22:00 - 23:00;16205;16107
2015-01-03;23:00 - 00:00;14800;15072
2015-01-04;00:00 - 01:00;14000;14350
2015-01-04;01:00 - 02:00;13500;13946
2015-01-04;02:00 - 03:00;13250;13793
2015-01-04;03:00 - 04:00;13300;13817
2015-01-04;04:00 - 05:00;13400;13965
2015-01-04;05:00 - 06:00;13900;14381
2015-01-04;06:00 - 07:00;14100;14470
2015-01-04;07:00 - 08:00;15000;15067
2015-01-04;08:00 - 09:00;15900;16019
2015-01-04;09:00 - 10:00;16600;16765
2015-01-04;10:00 - 11:00;16850;17175
2015-01-04;11:00 - 12:00;17150;17300
2015-01-04;12:00 - 13:00;17300;17593
2015-01-04;13:00 - 14:00;17050;17347
2015-01-04;14:00 - 15:00;17800;17553
2015-01-04;15:00 - 16:00;19000;19026
2015-01-04;16:00 - 17:00;19150;19287
2015-01-04;17:00 - 18:00;19200;19295
2015-01-04;18:00 - 19:00;19300;19320
2015-01-04;19:00 - 20:00;18700;18647
2015-01-04;20:00 - 21:00;17900;17920
2015-01-04;21:00 - 22:00;16900;16953
2015-01-04;22:00 - 23:00;15600;15827
2015-01-04;23:00 - 00:00;14800;14796
2015-01-05;00:00 - 01:00;14300;14212
2015-01-05;01:00 - 02:00;14100;14037
2015-01-05;02:00 - 03:00;14050;13981
2015-01-05;03:00 - 04:00;14325;14321
2015-01-05;04:00 - 05:00;15100;15036
2015-01-05;05:00 - 06:00;16875;17081
2015-01-05;06:00 - 07:00;18475;18429
2015-01-05;07:00 - 08:00;19375;19412
2015-01-05;08:00 - 09:00;20150;20241
2015-01-05;09:00 - 10:00;20500;20543
2015-01-05;10:00 - 11:00;20775;20803
2015-01-05;11:00 - 12:00;20825;20877
2015-01-05;12:00 - 13:00;21000;21171
2015-01-05;13:00 - 14:00;20825;20995
2015-01-05;14:00 - 15:00;21025;20977
2015-01-05;15:00 - 16:00;22375;22323
2015-01-05;16:00 - 17:00;22550;22399
2015-01-05;17:00 - 18:00;22300;22215
2015-01-05;18:00 - 19:00;22075;21920
2015-01-05;19:00 - 20:00;21475;21086
2015-01-05;20:00 - 21:00;20150;19861
2015-01-05;21:00 - 22:00;18700;18575
2015-01-05;22:00 - 23:00;17300;17263
