Data;Godzina;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych
2022-12-18;1;934,275;0,000
2022-12-18;2;930,288;0,000
2022-12-18;3;860,700;0,000
2022-12-18;4;802,100;0,000
2022-12-18;5;785,188;0,000
2022-12-18;6;839,000;0,000
2022-12-18;7;821,725;0,000
2022-12-18;8;941,263;20,863
2022-12-18;9;1148,300;129,363
2022-12-18;10;1314,188;431,438
2022-12-18;11;1244,688;802,313
2022-12-18;12;1081,075;1104,050
2022-12-18;13;948,088;1129,238
2022-12-18;14;924,975;961,375
2022-12-18;15;998,063;549,088
2022-12-18;16;1220,975;167,225
2022-12-18;17;1406,988;0,000
2022-12-18;18;1579,550;0,000
2022-12-18;19;1736,838;0,000
2022-12-18;20;1786,350;0,000
2022-12-18;21;2008,263;0,000
2022-12-18;22;2157,913;0,000
2022-12-18;23;2327,050;0,000
2022-12-18;24;2616,213;0,000
