"data";"THB";"USD";"AUD";"HKD";"CAD";"NZD";"SGD";"EUR";"HUF";"CHF";"GBP";"UAH";"JPY";"CZK";"DKK";"ISK";"NOK";"SEK";"HRK";"RON";"BGN";"TRY";"ILS";"CLP";"PHP";"MXN";"ZAR";"BRL";"MYR";"RUB";"IDR";"INR";"KRW";"CNY";"XDR"
2022-01-03;0,1219;4,0424;2,9329;0,5185;3,1881;2,7617;2,9958;4,5889;1,2482;4,4326;5,4643;0,1482;3,5098;0,1846;0,6171;3,109;0,4585;0,4462;0,6103;0,9272;2,3462;0,3005;1,3045;0,4745;0,0791;0,1969;0,2554;0,7256;0,9688;0,0544;2,8336;5,4428;0,3388;0,6357;5,6787
2022-01-04;0,1216;4,0468;2,9185;0,5191;3,175;2,7505;2,9859;4,5737;1,2515;4,409;5,4677;0,1482;3,4939;0,1845;0,6149;3,0987;0,4566;0,4451;0,6082;0,9243;2,3385;0,3056;1,3073;0,4753;0,0789;0,197;0,2535;0,7122;0,9668;0,054;2,8294;5,4278;0,3382;0,6349;5,643
2022-01-05;0,1219;4,0396;2,9274;0,5184;3,1775;2,7501;2,9797;4,5672;1,2627;4,4106;5,4658;0,1471;3,4867;0,1857;0,614;3,0985;0,4569;0,4452;0,6075;0,9231;2,3351;0,3015;1,3043;0,4767;0,0794;0,1973;0,2539;0,7115;0,9633;0,0533;2,8136;5,4328;0,3372;0,6343;5,6551
2022-01-07;0,1198;4,0279;2,8823;0,5164;3,1683;2,7196;2,964;4,5576;1,2683;4,372;5,4595;0,1465;3,477;0,1858;0,6127;3,1174;0,4548;0,4417;0,606;0,9218;2,3302;0,2908;1,2986;0,4809;0,0785;0,1973;0,2574;0,7087;0,957;0,0532;2,8055;5,422;0,3347;0,6318;5,6327
2022-01-10;0,1191;4,0064;2,8802;0,5139;3,1734;2,7124;2,9567;4,5377;1,2679;4,35;5,4406;0,1457;3,4635;0,1861;0,6101;3,0995;0,4541;0,4407;0,603;0,9177;2,3201;0,2915;1,2857;0,4837;0,078;0,1962;0,2565;0,7111;0,9539;0,0535;2,8002;5,4107;0,3347;0,6286;5,6156
2022-01-11;0,12;4,0106;2,8816;0,5144;3,1734;2,7173;2,9648;4,5454;1,2716;4,33;5,458;0,1458;3,476;0,1868;0,611;3,0963;0,4538;0,4411;0,6041;0,9191;2,324;0,291;1,2811;0,48;0,0785;0,197;0,2572;0,7081;0,9568;0,0535;2,8041;5,4266;0,3363;0,6293;5,6223
2022-01-12;0,1196;3,9879;2,8761;0,5116;3,178;2,7049;2,9521;4,5332;1,2728;4,3192;5,4345;0,144;3,4566;0,1857;0,6092;3,0838;0,4568;0,4412;0,6025;0,9164;2,3178;0,2901;1,2811;0,4815;0,0779;0,1954;0,2575;0,7161;0,9527;0,0536;2,7853;5,3959;0,3349;0,6265;5,6
2022-01-13;0,1189;3,9463;2,8848;0,5066;3,1614;2,7154;2,9337;4,527;1,2747;4,3244;5,4209;0,1423;3,4451;0,1859;0,6084;3,0796;0,4565;0,4422;0,6014;0,9159;2,3146;0,2904;1,2699;0,4793;0,0772;0,1938;0,2583;0,7131;0,9449;0,0529;2,7611;5,3414;0,3331;0,6204;5,5816
2022-01-14;0,1192;3,9597;2,8795;0,5087;3,1725;2,7133;2,9437;4,5372;1,2789;4,3466;5,4387;0,1416;3,4761;0,1854;0,6097;3,0823;0,4556;0,4422;0,6035;0,9179;2,3198;0,292;1,2727;0,485;0,0771;0,1951;0,2584;0,7161;0,9476;0,052;2,7696;5,3413;0,3334;0,6235;5,5706
2022-01-17;0,1196;3,9567;2,8552;0,508;3,1627;2,694;2,9351;4,5201;1,2703;4,331;5,4123;0,1406;3,4556;0,1848;0,6074;3,0791;0,453;0,4382;0,601;0,9141;2,3111;0,2929;1,2727;0,4827;0,0772;0,1949;0,2569;0,7149;0,9458;0,0518;2,7635;5,3296;0,3321;0,6234;5,5594
